ComplexID	ComplexName	Organism	Synonyms	Cell line	subunits(UniProt IDs)	subunits(Entrez IDs)	Protein complex purification method	GO ID	GO description	FunCat ID	FunCat description	subunits(Protein name)	Disease comment	subunits(Gene name syn)	SWISSPROT organism	subunits(Gene name)	Complex comment	Subunits comment	PubMed ID
1105	TFIIIC containing complex	Human	None	HeLa S3 cells	Q12789;Q8WUA4;Q9UKN8;Q9Y5Q8;Q9Y5Q9	2975;2976;9329;9328;9330	MI:0029- cosedimentation through density gradients	GO:2001141;GO:0006355;GO:0003677;GO:0005634	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;nucleus	11.02.03.04;16.03.01;70.10	transcriptional control;DNA binding;nucleus	General transcription factor 3C polypeptide 1 ;General transcription factor 3C polypeptide 2 ;General transcription factor 3C polypeptide 4 ;General transcription factor 3C polypeptide 5 ;General transcription factor 3C polypeptide 3	None	;KIAA0011;;;	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	GTF3C1;GTF3C2;GTF3C4;GTF3C5;GTF3C3	The authors differentiate two forms of the isolated complexes, the sucrose gradient centrifugation isolated complex and the immunopurified complex of Hela S3 cell line (C alpha 12), which is called holo TFIIIC. Only the holo TFIIIC shows the further additional components topo I and PC4.	At the time of annotation, the additional members of subcomplex TFIIIC1, 70 kDa, 50 kDa, 45kDa and 40 kDa protein were unidentified.	9660958
1106	TFIIIC containing-TOP1-SUB1 complex	Human	None	HeLa S3 cells	P11387;P53999;Q12789;Q8WUA4;Q9UKN8;Q9Y5Q8;Q9Y5Q9	7150;10923;2975;2976;9329;9328;9330	MI:0007- anti tag coimmunoprecipitation	GO:2001141;GO:0006355;GO:0003677;GO:0005634	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;nucleus	11.02.03.04;16.03.01;70.10	transcriptional control;DNA binding;nucleus	DNA topoisomerase 1 ;Activated RNA polymerase II transcriptional coactivator p15 ;General transcription factor 3C polypeptide 1 ;General transcription factor 3C polypeptide 2 ;General transcription factor 3C polypeptide 4 ;General transcription factor 3C polypeptide 5 ;General transcription factor 3C polypeptide 3	None	;PC4 RPO2TC1;;KIAA0011;;;	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	TOP1;SUB1;GTF3C1;GTF3C2;GTF3C4;GTF3C5;GTF3C3	The authors differentiate two forms of the isolated complexes, the sucrose gradient centrifugation isolated complex and the immunopurified complex of Hela S3 cell line (C alpha 12), which is called holo TFIIIC. Only the holo TFIIIC shows the further additional components topo I and PC4.	At the time of annotation, the additional members of subcomplex TFIIIC1, 70 kDa, 50 kDa, 45kDa -and 40 kDa protein were unidentified.	9660958
1107	DNA synthesome core complex	Human	None	None	P09884;P12004;P28340;P35251;P49005;P49642;P49643;Q14181;Q15054;Q9HCU8	5422;5111;5424;5981;5425;5557;5558;23649;10714;57804	MI:0226- ion exchange chromatography; MI:0029- cosedimentation through density gradients	GO:0006260;GO:0005634	DNA replication;nucleus	10.01.03;70.10	DNA synthesis and replication;nucleus	DNA polymerase alpha catalytic subunit ;Proliferating cell nuclear antigen ;DNA polymerase delta catalytic subunit ;Replication factor C subunit 1 ;DNA polymerase delta subunit 2 ;DNA primase small subunit ;DNA primase large subunit ;DNA polymerase alpha subunit B ;DNA polymerase delta subunit 3 ;DNA polymerase delta subunit 4	None	POLA;;POLD;RFC140;;;PRIM2A;;KIAA0039;POLDS	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	POLA1;PCNA;POLD1;RFC1;POLD2;PRIM1;PRIM2;POLA2;POLD3;POLD4	None	None	9563011
1108	DNA synthesome complex (15 subunits)	Human	None	None	P09884;P12004;P18858;P28340;P35251;P49005;P49642;P49643;P56282;Q07864;Q14181;Q15054;Q9HCU8;Q9NR33;Q9NRF9	5422;5111;3978;5424;5981;5425;5557;5558;5427;5426;23649;10714;57804;56655;54107	MI:0226- ion exchange chromatography; MI:0029- cosedimentation through density gradients; MI:0006- anti bait coimmunoprecipitation	GO:0006260;GO:0005634	DNA replication;nucleus	10.01.03;70.10	DNA synthesis and replication;nucleus	DNA polymerase alpha catalytic subunit ;Proliferating cell nuclear antigen ;DNA ligase 1 ;DNA polymerase delta catalytic subunit ;Replication factor C subunit 1 ;DNA polymerase delta subunit 2 ;DNA primase small subunit ;DNA primase large subunit ;DNA polymerase epsilon subunit 2 ;DNA polymerase epsilon catalytic subunit A ;DNA polymerase alpha subunit B ;DNA polymerase delta subunit 3 ;DNA polymerase delta subunit 4 ;DNA polymerase epsilon subunit 4 ;DNA polymerase epsilon subunit 3	None	POLA;;;POLD;RFC140;;;PRIM2A;DPE2;POLE1;;KIAA0039;POLDS;;CHRAC17	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	POLA1;PCNA;LIG1;POLD1;RFC1;POLD2;PRIM1;PRIM2;POLE2;POLE;POLA2;POLD3;POLD4;POLE4;POLE3	None	None	9563011
1109	DNA polymerase alpha	Mouse	None	None	P33609;P33611	18968;18969	MI:0091- chromatography technologies; MI:0004- affinity chromatography technologies	GO:0006260;GO:0005634	DNA replication;nucleus	10.01.03;70.10	DNA synthesis and replication;nucleus	DNA polymerase alpha catalytic subunit ;DNA polymerase alpha subunit B	None	Pola;	Mus musculus (Mouse);Mus musculus (Mouse)	Pola1;Pola2	Analysis of the DNA products with poly(dA)-oligo(dT)10 as template-primer revealed that both primase-free DNA polymerase-alpha and the DNA polymerase-alpha-primase complex predominantly synthesized short DNA with less than 30 nucleotides (PMID:2226860).	None	2226860
1110	DNA polymerase alpha-primase complex	Mouse	None	None	P20664;P33609;P33610;P33611	19075;18968;19076;18969	MI:0004- affinity chromatography technologies	GO:0006260;GO:0005634	DNA replication;nucleus	10.01.03;70.10	DNA synthesis and replication;nucleus	DNA primase small subunit ;DNA polymerase alpha catalytic subunit ;DNA primase large subunit ;DNA polymerase alpha subunit B	None	;Pola;;	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	Prim1;Pola1;Prim2;Pola2	None	None	2383257
1111	DNA synthesome complex (17 subunits)	Human	None	None	P09884;P11387;P11388;P12004;P27694;P28340;P35251;P49005;P49642;P49643;P56282;Q02880;Q07864;Q14181;Q15054;Q9HCU8;Q9NR33;Q9NRF9	5422;7150;7153;5111;6117;5424;5981;5425;5557;5558;5427;7155;5426;23649;10714;57804;56655;54107	MI:0226- ion exchange chromatography; MI:0029- cosedimentation through density gradients; MI:0276- blue native page	GO:0006260;GO:0005634	DNA replication;nucleus	10.01.03;70.10	DNA synthesis and replication;nucleus	DNA polymerase alpha catalytic subunit ;DNA topoisomerase 1 ;DNA topoisomerase 2-alpha ;Proliferating cell nuclear antigen ;Replication protein A 70 kDa DNA-binding subunit ;DNA polymerase delta catalytic subunit ;Replication factor C subunit 1 ;DNA polymerase delta subunit 2 ;DNA primase small subunit ;DNA primase large subunit ;DNA polymerase epsilon subunit 2 ;DNA topoisomerase 2-beta ;DNA polymerase epsilon catalytic subunit A ;DNA polymerase alpha subunit B ;DNA polymerase delta subunit 3 ;DNA polymerase delta subunit 4 ;DNA polymerase epsilon subunit 4 ;DNA polymerase epsilon subunit 3	None	POLA;;TOP2;;REPA1 RPA70;POLD;RFC140;;;PRIM2A;DPE2;;POLE1;;KIAA0039;POLDS;;CHRAC17	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	POLA1;TOP1;TOP2A;PCNA;RPA1;POLD1;RFC1;POLD2;PRIM1;PRIM2;POLE2;TOP2B;POLE;POLA2;POLD3;POLD4;POLE4;POLE3	This complex associates also with a not further characterized DNA helicase.	None	11968016
1112	Psd3-Actn1 complex	Mouse	None	hippocampal neurons	Q2PFD7;Q7TPR4	234353;109711	MI:0019-coimmunoprecipitation;MI:0018-two hybrid;MI:0096-pull down	GO:0050789	regulation of biological process	18	REGULATION OF METABOLISM AND PROTEIN FUNCTION	PH and SEC7 domain-containing protein 3 ;Alpha-actinin-1	None	Efa6d Kiaa0942;	Mus musculus (Mouse);Mus musculus (Mouse)	Psd3;Actn1	EFA6A may form a protein complex with alpha-actinin and activate ARF6 in close proximity of the actin cytoskeleton and membrane proteins in the dendritic spines (PMID:17298598).	None	17298598
1113	5S-DNA-TFIIIA-TFIIIC2 subcomplex	Human	None	None	Q12789;Q8WUA4;Q92664;Q9UKN8;Q9Y5Q8;Q9Y5Q9	2975;2976;2971;9329;9328;9330	MI:0071- molecular sieving; MI:0004- affinity chromatography technologies	GO:2001141;GO:0006355;GO:0003677;GO:0005634	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;nucleus	11.02.03.04;16.03.01;70.10	transcriptional control;DNA binding;nucleus	General transcription factor 3C polypeptide 1 ;General transcription factor 3C polypeptide 2 ;Transcription factor IIIA ;General transcription factor 3C polypeptide 4 ;General transcription factor 3C polypeptide 5 ;General transcription factor 3C polypeptide 3	None	;KIAA0011;;;;	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	GTF3C1;GTF3C2;GTF3A;GTF3C4;GTF3C5;GTF3C3	This complex could be complemented with TFIIIB beta, TFIIIC1 and RNA polymerase III (pol III) for transcriptional activity.	None	12711686
1114	5S-DNA-TFIIIA-TFIIIC2-TFIIIB subcomplex	Human	None	None	A6H8Y1;P20226;Q12789;Q8WUA4;Q92664;Q92994;Q9UKN8;Q9Y5Q8;Q9Y5Q9	55814;6908;2975;2976;2971;2972;9329;9328;9330	MI:0071-molecular sieving;MI:0004-affinity chromatography technologies	GO:2001141;GO:0006355;GO:0003677;GO:0005634	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;nucleus	11.02.03.04;16.03.01;70.10	transcriptional control;DNA binding;nucleus	Transcription factor TFIIIB component B'' homolog ;TATA-box-binding protein ;General transcription factor 3C polypeptide 1 ;General transcription factor 3C polypeptide 2 ;Transcription factor IIIA ;Transcription factor IIIB 90 kDa subunit ;General transcription factor 3C polypeptide 4 ;General transcription factor 3C polypeptide 5 ;General transcription factor 3C polypeptide 3	None	KIAA1241 KIAA1689 TFNR;GTF2D1 TF2D TFIID;;KIAA0011;;BRF GTF3B TAF3B2 TAF3C;;;	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	BDP1;TBP;GTF3C1;GTF3C2;GTF3A;BRF1;GTF3C4;GTF3C5;GTF3C3	This complex has to be complemented with TFIIIC1 and RNA polymerase III (pol III) for full transcriptional activity. Adding pol III to an isolated quaternary 5S-DNA-TFIIIA-TFIIIC2-TFIIIB-beta complex does not suffice for transcription, but the further addition of TFIIIC1 is absolutely required.	None	12711686
1115	Cdk5/p35 complex (Cdk5-Cdk5r1 complex)	Mouse	None	astrocytes	P49615;P61809	12568;12569	MI:0019- coimmunoprecipitation	GO:0006468;GO:0006470;GO:0046777;GO:0005515;GO:0007399;GO:0097449	protein phosphorylation;protein dephosphorylation;protein autophosphorylation;protein binding;nervous system development;astrocyte projection	14.07.03;16.01;47.03.01	modification by phosphorylation, dephosphorylation, autophosphorylation;protein binding;nervous system	Cyclin-dependent-like kinase 5 ;Cyclin-dependent kinase 5 activator 1	The Cdk5-Cdk5r1 complex (also often called Cdk5/p35 complex) is suggested to be involved in Alzheimers disease (OMIM: 104300). Compare also the CIDER database.	Cdkn5 Crk6;Cdk5r Nck5a	Mus musculus (Mouse);Mus musculus (Mouse)	Cdk5;Cdk5r1	Astrocytic Cdk5 is involved in process elongation of scratched astrocytes.	None	17295212
1116	CRM1-Survivin-AuroraB mitotic complex	Human	None	None	O14980;O15392;Q96GD4	7514;332;9212	MI:0006- anti bait coimmunoprecipitation	GO:0000278;GO:0051169;GO:0000775	mitotic cell cycle;nuclear transport;chromosome, centromeric region	10.03.01.01;20.09.01;70.10.04	mitotic cell cycle;nuclear transport;centromere / kinetochore	Exportin-1 ;Baculoviral IAP repeat-containing protein 5 ;Aurora kinase B	None	CRM1;API4 IAP4;AIK2 AIM1 AIRK2 ARK2 STK1 STK12 STK5	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	XPO1;BIRC5;AURKB	Crm1 could be recovered in a complex with endogenous Survivin-Aurora-B from mitotic cells, whereas complex formation was abolished on pretreatment with LMB (leptomycin B).	None	17099693
1117	CRM1-Survivin mitotic complex	Human	None	None	O14980;O15392	7514;332	MI:0007- anti tag coimmunoprecipitation	GO:0000278;GO:0051169;GO:0000775	mitotic cell cycle;nuclear transport;chromosome, centromeric region	10.03.01.01;20.09.01;70.10.04	mitotic cell cycle;nuclear transport;centromere / kinetochore	Exportin-1 ;Baculoviral IAP repeat-containing protein 5	None	CRM1;API4 IAP4	Homo sapiens (Human);Homo sapiens (Human)	XPO1;BIRC5	The Survivin-Crm1 interaction is essential for chromosomal passenger complex localization and function.	None	17099693
1118	Chromosomal passenger complex CPC (INCENP, CDCA8, BIRC5, AURKB)	Human	None	None	O15392;Q53HL2;Q96GD4;Q9NQS7	332;55143;9212;3619	MI:0007- anti tag coimmunoprecipitation	GO:0000278;GO:0007059;GO:0000775	mitotic cell cycle;chromosome segregation;chromosome, centromeric region	10.03.01.01;10.03.04.05;70.10.04	mitotic cell cycle;chromosome segregation/division;centromere / kinetochore	Baculoviral IAP repeat-containing protein 5 ;Borealin ;Aurora kinase B ;Inner centromere protein	None	API4 IAP4;PESCRG3;AIK2 AIM1 AIRK2 ARK2 STK1 STK12 STK5;	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	BIRC5;CDCA8;AURKB;INCENP	Borealin forms a complex with Survivin, which can bind to Aurora-B kinase and is incorporated into the CP-holocomplex by interacting with INCENP (PMID:16571674). The NES in Survivin mediates the recruitment of Crm1-Ran-GTP, which seems to be involved in guiding the CPC to the centromeres in early prophase by an unknown mechanism.	None	17099693
1119	Chromosomal passenger complex CPC (INCENP, CDCA8, BIRC5, AURKB)	Human	None	None	O15392;Q53HL2;Q96GD4;Q9NQS7	332;55143;9212;3619	MI:0007- anti tag coimmunoprecipitation	GO:0000278;GO:0007059;GO:0003677;GO:0000775	mitotic cell cycle;chromosome segregation;DNA binding;chromosome, centromeric region	10.03.01.01;10.03.04.05;16.03.01;70.10.04	mitotic cell cycle;chromosome segregation/division;DNA binding;centromere / kinetochore	Baculoviral IAP repeat-containing protein 5 ;Borealin ;Aurora kinase B ;Inner centromere protein	None	API4 IAP4;PESCRG3;AIK2 AIM1 AIRK2 ARK2 STK1 STK12 STK5;	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	BIRC5;CDCA8;AURKB;INCENP	Yeast two hybrid analysis pointed out that Aurora B associates with the C terminus of INCENP via the IN-box, Survivin and Borealin interact with the N-terminal 58 amino acids of INCENP and bind to each other.	None	16571674
1120	Chromosomal passenger complex CPC (INCENP, CDCA8, BIRC5)	Human	None	None	O15392;Q53HL2;Q9NQS7	332;55143;3619	MI:0007- anti tag coimmunoprecipitation	GO:0000278;GO:0007059;GO:0003677;GO:0000775	mitotic cell cycle;chromosome segregation;DNA binding;chromosome, centromeric region	10.03.01.01;10.03.04.05;16.03.01;70.10.04	mitotic cell cycle;chromosome segregation/division;DNA binding;centromere / kinetochore	Baculoviral IAP repeat-containing protein 5 ;Borealin ;Inner centromere protein	None	API4 IAP4;PESCRG3;	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	BIRC5;CDCA8;INCENP	Yeast two hybrid analysis pointed out that Survivin and Borealin interact with the N-terminal 58 amino acids of INCENP and bind to each other. The authors showed that a ternary complex between Borealin, Survivin, and the first 58 amino acids of INCENP (INCENP1-58) exists in vivo. This subcomplex was found to be essential and sufficient for targeting to the centromere. Notably, AuroraB kinase, the enzymatic core of the CPC, was not required for centromere localization of the subcomplex.	None	16571674
1121	WNK1-OSR1 complex	Human	None	None	O95747;Q9H4A3	9943;65125	MI:0019- coimmunoprecipitation	GO:0005515;GO:0050789;GO:0006970;GO:0007588;GO:0030104;GO:0043575;GO:0005034	protein binding;regulation of biological process;response to osmotic stress;excretion;water homeostasis;detection of osmotic stimulus;osmosensor activity	16.01;18;34.11.03.13;34.01.05	protein binding;REGULATION OF METABOLISM AND PROTEIN FUNCTION;osmosensing  and response;water homeostasis	Serine/threonine-protein kinase OSR1 ;Serine/threonine-protein kinase WNK1	WNK1 is mutated in Gordon's hypertension syndrome.	KIAA1101 OSR1;HSN2 KDP KIAA0344 PRKWNK1	Homo sapiens (Human);Homo sapiens (Human)	OXSR1;WNK1	WNK1 and OSR1 regulate NKCC activity (sodium, potassium, two chloride cotransporter) (PMID:16832045).	None	17190791
1122	Smcb-Smcd-PW29 complex	Mouse	None	None	Q61550;Q9CU62;Q9CW03	19357;24061;13006	MI:0006- anti bait coimmunoprecipitation	GO:0000278;GO:0007059;GO:0005694	mitotic cell cycle;chromosome segregation;chromosome	10.03.01.01;10.03.04.05;70.10.03	mitotic cell cycle;chromosome segregation/division;chromosome	Double-strand-break repair protein rad21 homolog ;Structural maintenance of chromosomes protein 1A ;Structural maintenance of chromosomes protein 3	None	Hr21;Sb1.8 Smc1 Smc1l1 Smcb;Bam Bmh Cspg6 Mmip1 Smc3l1 Smcd	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	Rad21;Smc1a;Smc3	The authors show that overexpression of a PW29-GFP fusion protein in mouse fibroblasts leads to inhibition of proliferation, implicating this protein and its complex with SMC proteins in the control of mitotic cycle progression.	None	10375619
1123	WNK1-SPAk complex	Human	None	None	Q9H4A3;Q9UEW8	65125;27347	MI:0019- coimmunoprecipitation	GO:0005515;GO:0050789;GO:0006970;GO:0007588;GO:0030104;GO:0043575;GO:0005034	protein binding;regulation of biological process;response to osmotic stress;excretion;water homeostasis;detection of osmotic stimulus;osmosensor activity	16.01;18;34.11.03.13;34.01.05	protein binding;REGULATION OF METABOLISM AND PROTEIN FUNCTION;osmosensing  and response;water homeostasis	Serine/threonine-protein kinase WNK1 ;STE20/SPS1-related proline-alanine-rich protein kinase	WNK1 is mutated in Gordon's hypertension syndrome.	HSN2 KDP KIAA0344 PRKWNK1;SPAK	Homo sapiens (Human);Homo sapiens (Human)	WNK1;STK39	None	None	17190791
1124	SNARE complex (Snap25, Stx1a, Vamp2, Cplx1, Cplx3)	Mammalia	None	None	P32851;P60881;P63041;P63045;Q8R1B5	116470;25012;64832;24803;235415	MI:0027- cosedimentation	GO:0006906;GO:0048489;GO:0016079	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	20.09.07.27;20.09.16.09.05	vesicle fusion;synaptic vesicle exocytosis	Syntaxin-1A ;Synaptosomal-associated protein 25 ;Complexin-1 ;Vesicle-associated membrane protein 2 ;Complexin-3	None	Sap;Snap;;Syb2;	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Mus musculus (Mouse)	Stx1a;Snap25;Cplx1;Vamp2;Cplx3	SNARE (N-ethylmaleimide-sensitive factor attachment protein receptor) complexes are responsible for membrane fusion in the secretory pathway.	None	15911881
1125	SNARE complex (Snap25, Stx1a, Vamp2, Cplx3, Cplx4)	Mammalia	None	None	P32851;P60881;P63045;Q80WM3;Q8R1B5	116470;25012;24803;225644;235415	MI:0027- cosedimentation	GO:0006906;GO:0048489;GO:0016079	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	20.09.07.27;20.09.16.09.05	vesicle fusion;synaptic vesicle exocytosis	Syntaxin-1A ;Synaptosomal-associated protein 25 ;Vesicle-associated membrane protein 2 ;Complexin-4 ;Complexin-3	None	Sap;Snap;Syb2;;	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Mus musculus (Mouse);Mus musculus (Mouse)	Stx1a;Snap25;Vamp2;Cplx4;Cplx3	SNARE (N-ethylmaleimide-sensitive factor attachment protein receptor) complexes are responsible for membrane fusion in the secretory pathway.	None	15911881
1126	SNARE complex (Snap25, Stx1a,3, Vamp2, Cplx1, Cplx3, Cplx4)	Mammalia	None	None	P32851;P60881;P63041;P63045;Q08849;Q80WM3;Q8R1B5	116470;25012;64832;24803;81802;225644;235415	MI:0027- cosedimentation	GO:0006906;GO:0048489;GO:0016079	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	20.09.07.27;20.09.16.09.05	vesicle fusion;synaptic vesicle exocytosis	Syntaxin-1A ;Synaptosomal-associated protein 25 ;Complexin-1 ;Vesicle-associated membrane protein 2 ;Syntaxin-3;Complexin-4 ;Complexin-3	None	Sap;Snap;;Syb2;Stx3a;;	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Mus musculus (Mouse);Mus musculus (Mouse)	Stx1a;Snap25;Cplx1;Vamp2;Stx3;Cplx4;Cplx3	SNARE (N-ethylmaleimide-sensitive factor attachment protein receptor) complexes are responsible for membrane fusion in the secretory pathway. The interaction between the SNARE complex and CPX4 indicates a lower binding affinity.	None	15911881
1127	Shps1-Fyb-Skap55r complex	Mammalia	None	COS-7 cells	O35601;P97797;Q3UND0	23880;19261;54353	MI:0019- coimmunoprecipitation	GO:0023052;GO:0007155;GO:0006909	signaling;cell adhesion;phagocytosis	30.01;34.07;36.25.16.01.03	cellular signalling;cell adhesion;phagocyte response (e.g. macrophages, dendritic cells, granulocytes)	FYN-binding protein ;Tyrosine-protein phosphatase non-receptor type substrate 1 ;Src kinase-associated phosphoprotein 2	None	;Bit Myd1 Ptpns1 Shps1 Sirp;Prap Ra70 Saps Scap2 Skap55r	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	Fyb;Sirpa;Skap2	Analysis done in randomly growing normal cells and bone marrow derived macrophages (BMM) from mice homozygotic for the motheaten (me) mutation and in transfected COS-7 cell line. Formation of the complex was independent of SHP-1 and tyrosine phosphorylation of SHPS-1.	None	10469599
1128	Shps1-Pyk2 complex	Mammalia	None	COS-7 cells	P97797;Q9QVP9	19261;19229	MI:0019- coimmunoprecipitation	GO:0023052;GO:0007155;GO:0006909	signaling;cell adhesion;phagocytosis	30.01;34.07;36.25.16.01.03	cellular signalling;cell adhesion;phagocyte response (e.g. macrophages, dendritic cells, granulocytes)	Tyrosine-protein phosphatase non-receptor type substrate 1 ;Protein-tyrosine kinase 2-beta	None	Bit Myd1 Ptpns1 Shps1 Sirp;Fak2 Pyk2 Raftk	Mus musculus (Mouse);Mus musculus (Mouse)	Sirpa;Ptk2b	Analysis done in randomly growing normal cells and bone marrow derived macrophages (BMM) from mice homozygotic for the motheaten (me) mutation and in transfected COS-7 cell line. Formation of the complex was independent of SHP-1 and tyrosine phosphorylation of SHPS-1.	None	10469599
1129	Complexin complex (Stx3, Cplx1, Cplx3)	Mammalia	None	None	P63041;Q08849;Q8R1B5	64832;81802;235415	MI:0027- cosedimentation	GO:0006906;GO:0048489;GO:0016079	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	20.09.07.27;20.09.16.09.05	vesicle fusion;synaptic vesicle exocytosis	Complexin-1 ;Syntaxin-3;Complexin-3	None	;Stx3a;	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Mus musculus (Mouse)	Cplx1;Stx3;Cplx3	All known CPXs interact with SNARE complexes. They may therefore play a role in neurotransmitter release.	None	15911881
1130	Hip1R-cortactin complex	Human	None	None	O75146;Q14247	9026;2017	MI:0007- anti tag coimmunoprecipitation	GO:0005198;GO:0030048;GO:0005737	structural molecule activity;actin filament-based movement;cytoplasm	16.07;20.09.14.02;70.03	structural protein binding;actin dependent transport;cytoplasm	Huntingtin-interacting protein 1-related protein ;Src substrate cortactin	None	HIP12 KIAA0655;EMS1	Homo sapiens (Human);Homo sapiens (Human)	HIP1R;CTTN	The Hip1R-cortactin complex negatively regulates actin assembly associated with endocytosis.	None	17318189
1131	RFC2-RIalpha complex	Human	None	None	P30153;P35250	5518;5982	MI:0018- two hybrid; MI:0019- coimmunoprecipitation; MI:0096- pull down	GO:0005515	protein binding	16.01	protein binding	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform ;Replication factor C subunit 2	None	;	Homo sapiens (Human);Homo sapiens (Human)	PPP2R1A;RFC2	None	None	15655353
1132	RFC2-RIalpha complex	Human	None	None	P30153;P35249	5518;5984	MI:0018- two hybrid; MI:0019- coimmunoprecipitation; MI:0096- pull down	GO:0005515	protein binding	16.01	protein binding	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform ;Replication factor C subunit 4	None	;	Homo sapiens (Human);Homo sapiens (Human)	PPP2R1A;RFC4	None	None	15655353
1133	ATR-HDAC2 complex	Human	None	None	Q13535;Q92769	545;3066	MI:0004- affinity chromatography technologies; MI:0019- coimmunoprecipitation	GO:0006265;GO:0006473;GO:0006476;GO:0051276	DNA topological change;protein acetylation;protein deacetylation;chromosome organization	10.01.09.05;14.07.04;42.10.03	DNA conformation modification (e.g. chromatin);modification by acetylation, deacetylation;organization of chromosome structure	Serine/threonine-protein kinase ATR ;Histone deacetylase 2	None	FRP1;	Homo sapiens (Human);Homo sapiens (Human)	ATR;HDAC2	The ATR-HDAC2 complex is a robust biochemical entity that withstands ammonium sulfate precipitation and anion exchange chromatography.	None	10545197
1134	ATR-HDAC2-CHD4 complex	Human	None	None	Q13535;Q14839;Q92769	545;1108;3066	MI:0019- coimmunoprecipitation; MI:0069- mass spectrometry studies of complexes	GO:0006265;GO:0000075;GO:0006473;GO:0006476;GO:0006974;GO:0051276;GO:0005634	DNA topological change;cell cycle checkpoint;protein acetylation;protein deacetylation;cellular response to DNA damage stimulus;chromosome organization;nucleus	10.01.09.05;10.03.01.03;14.07.04;32.01.09;42.10.03;70.10	DNA conformation modification (e.g. chromatin);cell cycle checkpoints (checkpoints of morphogenesis, DNA-damage,-replication, mitotic phase and spindle);modification by acetylation, deacetylation;DNA damage response;organization of chromosome structure;nucleus	Serine/threonine-protein kinase ATR ;Chromodomain-helicase-DNA-binding protein 4 ;Histone deacetylase 2	None	FRP1;;	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	ATR;CHD4;HDAC2	Other members of the NRD complex HDAC1, MTA-1, and MTA-2 are also detectable in ATR immunoprecipitates.	None	10545197
